scientifique 	scientific	 scientist
embellir 	embellish
orbital 	orbital
aeronautique 	aeronautic
vanuatu 	Vanuatu
semence 	seed	 semen
monoclinique 	monoclinic
coloniste 	colonist
exorciste 	exorcist
symbolisme 	symbolism
électroencéphalogramme 	electroencephalogram
mtc 	MTC
exorcisme 	exorcism
multilingue 	multilingual
doyenne 	dean	 doyenne
stable 	stable
incarnation 	embodiment	 incarnation
séance 	session	 séance
match 	match
pore 	pore
anticyclone 	anticyclone
constitutionnel 	constitutional
satanisme 	Satanism
palimpseste 	palimpsest
agrostologie 	agrostology
couple 	torque	 couple	 ordered pair
carbone 	carbon
consciencieux 	conscientious
fiancée 	fiancée	 engaged
symposium 	symposium
pastiche 	pastiche
apocryphe 	apocryphal
cyclone 	cyclone
instituer 	institute
tyrannosaure 	tyrannosaur	 tyrannosaurus
geek 	geek
défloration 	defloration
verlaniser 	verlanize
thuriféraire 	thurifer
marathe 	Marathi
inermittence 	intermittence
minotaure 	minotaur
collage 	collage
accessibilité 	accessibility
polyglotte 	polyglot
avantage 	advantage	 convenience	 benefit
volume 	volume
balance 	balance	 scale	 scales	 grass	 snitch
impressionnisme 	impressionism
trouvère 	trouvère
argonaute 	Argonaut
conclure 	conclude	 derive	 close
acceptable 	palatable	 acceptable
charlotte 	Charlotte
pizzeria 	pizzeria
impossibilité 	impossibility
déborah 	Deborah
lesbien 	lesbian	 Sapphic
fonction 	subroutine	 procedure	 function
callipyge 	callipygian
tallin 	Tallinn
microscopique 	microscopic
turkménistan 	Turkmenistan
sordide 	sordid
luxembourgeois 	Luxembourger	 Luxemburger
croquette 	croquette
toast 	toast
monocle 	monocle
partisane 	partisan
animale 	animal
grozny 	Grozny
rappel 	encore	 reminder	 rappel
toronto 	Toronto
dialoguer 	dialogue
chiralité 	chirality
barite 	barite
bestseller 	bestseller
asparagine 	asparagine
hectare 	hectare
triumvirat 	triumvirate
mouflon 	mouflon
permanent 	permanent	 lasting	 everlasting
mauve 	gull	 mauve	 mallow
krasnodar 	Krasnodar
contacter 	contact
argonaute 	argonaut
cypriote 	Cypriot
danse macabre 	danse macabre
angkor vat 	Angkor Wat
plantain 	plantain
acarnanienne 	Acarnanian
arginine 	arginine
clipperi 	clipper
victor 	Victor
thessalie 	Thessaly
skateboard 	skateboard
altercation 	altercation
camomille 	camomile
staliniste 	Stalinist
unicycliste 	unicyclist
omniscience 	omniscience
mug 	mug
questionnaire 	questionnaire
incompétence 	incompetence
bombarder 	bombard	 bomb
chalumeau 	chalumeau
coulomb 	coulomb
transitive 	transitive
kirigami 	kirigami
superordre 	superorder
concupiscence 	concupiscence
torride 	torrid
phagocyte 	phagocyte
camélopard 	camelopard
pernicieux 	pernicious
furlong 	furlong
conjonction 	alignment	 conjunction
peta- 	peta-
triathlon 	triathlon
identité 	identity
rétractile 	retractable	 retractile
cent 	cent	 hundred
muscle 	muscle
mature 	mature
procyon 	Procyon
balustrade 	balustrade
facilitation 	facilitation
microbiologie 	microbiology
morgue 	morgue
usurper 	usurp
tranquille 	tranquil	 quiet
réduction 	abatement	 reduction
autodidacte 	autodidact
nuptiale 	nuptial
glutamate 	glutamate
rectangle 	rectangle
stochastique 	stochastic
limousin 	Limousin
canadien 	Canadian
palerme 	Palermo
zetland 	Shetland Islands	 Zetland
peste 	plague	 pest
amen 	amen
lisbonne 	Lisbon
neurologie 	neurology
sri lanka 	Sri Lanka
tact 	tact
glaris 	Glarus
imperia 	Imperia
radiolyse 	radiolysis
cartilage 	cartilage
controversiste 	controversialist
tarer 	tare
stalinisme 	Stalinism
doctrine 	doctrine
thaumaturge 	thaumaturge
astronomie 	astronomy
ovale 	oval
sublingual 	sublingual
profession 	profession
timonisme 	Timonism
l'esprit de l'escalier 	l'esprit de l'escalier	 staircase wit
adaptable 	adaptable
cadmium 	cadmium
cage 	cage
cambridge 	Cambridge
lárissa 	Larissa
brucellose 	brucellosis
génocide 	genocide
hagiographie 	hagiography
lambada 	lambada
embarcadère 	embarcadère
terminologie 	terminology
el salvador 	El Salvador
invisible 	invisible
endocrinologue 	endocrinologist
nomenclature 	nomenclature
viril 	virile	 manly
grandiose 	grandiose
linguiste 	linguist
solitude 	loneliness	 solitude
gourmet 	gourmet	 gourmand
adam 	Adam
mafia 	mafia
ununtrium 	ununtrium
maorie 	Maori
francophone 	Francophone
spam 	spam
mcintosh 	McIntosh
imperfectif 	imperfective
hexagone 	hexagon
acrylamide 	acrylamide
planter 	plant
concerto 	concerto
mayonnaise 	mayonnaise
confus 	fuzzy	 confused
anguilla 	Anguilla
subside 	subsidy
footballeuse 	soccer player	 footballer
bordel 	pigsty	 bordello	 brothel	 tsuris	 mess
border 	border
attributive 	attributive
lésion 	lesion	 wound
menu 	menu
robe 	gown	 robe
inepte 	inept
western 	western
paraguay 	Paraguay
lysosome 	lysosome
cénotaphe 	cenotaph
abolitionniste 	abolitionist
ununseptium 	ununseptium
micro- 	micro-
contagieux 	contagious
perspectivisme 	perspectivism
silhouette 	figure	 silhouette
cartographie 	cartography
progresser 	progress
embarrassante 	embarrassing
douglas 	Douglas
muse 	Muse
passion 	passion
neptune 	Neptune
madhya pradesh 	Madhya Pradesh
lyncher 	lynch
graphite 	graphite
ingestion 	ingestion
violent 	violent
astrophysique 	astrophysics
constipation 	constipation
alibi 	alibi
puzzle 	puzzle
backgammon 	backgammon
regrettable 	regrettable
bovin 	beef	 bovine	 cow
discussion 	discussion
timonien 	Timonian
bastide 	bastide
cave 	cellar	 cave
invincibilité 	invincibility
intoxication 	intoxication
soul 	soul
championne 	champion	 championship
ketchup 	ketchup
diariste 	diarist
perplexe 	perplexed
belfast 	Belfast
katanga 	Katanga
colostomie 	colostomy
silicone 	silicone
évolution 	change	 evolution
conjugal 	conjugal
francophilie 	Francophilia
facial 	facial
silo de missile 	missile silo
anusvara 	anusvara
qubit 	qubit
audiologiste 	audiologist
éjectable 	ejectable
concomitance 	concomitance
abscisse 	abscissa
toolbox 	toolbox
pakistan 	Pakistan
uruguayen 	Uruguayan
talkie-walkie 	walkie-talkie
prohibition 	Prohibition
naturalisation 	naturalization
crampe 	stitch	 cramp
adoration 	adoration	 worship
péricope 	pericope
assurer 	assure	 belay
marianne 	Marian
outing 	outing
favus 	favus
conscience 	consciousness	 awareness	 conscience
timoniste 	Timonist
honshū 	Honshu
camp 	camp
solo 	solo
gnocchis 	gnocchi
biomasse 	biomass
atoll 	atoll
sole 	sole
prospecter 	prospect
atome 	atom	 mote
internet 	Internet
cape 	cape
mandat 	warrant	 power of attorney	 mandate
darius 	Darius
érection 	erection
hypnos 	Hypnos
parapsychologie 	parapsychology
jonathan 	Jonathan
cryptorchidie 	cryptorchidism
seychellois 	Seychellois
tarsier 	tarsier
fractal 	fractal
muhu 	Muhu
amsterdam 	Amsterdam
funk 	funk
jordan 	Jordan
désertion 	desertion
participer 	partake	 participate	 take part
adjacent 	marginal	 adjacent
pâté 	block	 pâté
parsec 	parsec
indicatif 	indicative
café 	coffee	 coffeehouse	 café	 cafe
ottawa 	Ottawa
arcturus 	Arcturus
virus 	virus	 bug
science-fiction 	science fiction	 sci-fi
post- 	post-
éclaircissement 	eclaircissement
auto- 	auto-
insister 	urge	 insist
bicarbonate 	sodium bicarbonate	 bicarbonate
marseille 	Marseilles
suffixation 	suffixation
briquette 	briquet
confesser 	own up	 shrive	 confess
nicaragua 	Nicaragua
port-au-prince 	Port-au-Prince
soba 	soba
pyrolyse 	pyrolysis
tunnel 	tunnel
biface 	biface
saccharide 	saccharide
pavane 	pavane
omelette 	omelette
kirpan 	kirpan
constituer 	constitute
canal 	canal
martien 	Martian
approximant 	approximate
cryolithe 	cryolite
zombi 	zombie
téthys 	Tethys
mégalomanie 	megalomania
tennis de table 	table tennis	 ping pong
euripide 	Euripides
ange 	angel
allotrope 	allotrope
annexe 	annex	 appendix
croatie 	Croatia
station service 	service station
invention 	invention
pseudologue 	pseudologue
consensus 	consensus
calcination 	calcination
khanty-mansiïsk 	Khanty-Mansiysk
pilsen 	Pilsen
sprinkleur 	sprinkler
terrain 	field	 terrain	 range	 pitch
fallacieux 	fallacious
astronaute 	spaceman	 astronaut
iconostase 	iconostasis
gorizia 	Gorizia
pusillanime 	pusillanimous
infinitif 	infinitive
durian 	durian
anniversaire 	anniversary
spitsberg 	Spitsbergen
belgrade 	Belgrade
dissuasion 	dissuasion	 deterrent	 deterrence
martin 	Martin
cortisol 	cortisol
vertigineux 	vertiginous
point cardinal 	cardinal point	 compass point
opuntia 	opuntia
physiologie 	physiology
homonymie 	homonymy
cryptozoologie 	cryptozoology
sabotage 	sabotage
brisbane 	Brisbane
bologne 	Bologna
embryon 	embryo
superman 	Superman
séquence 	sequence
contumace 	contumacy
confidentiel 	confidential
anabolisme 	anabolism
mycologiste 	mycologist
moralité 	moral	 morality
second 	second
bismuth 	bismuth
omniprésent 	omnipresent	 ubiquitous
husky 	husky
nairobi 	Nairobi
qatari 	Qatari
crosse 	stick	 crosier	 golf club	 crosse	 lacrosse	 lacrosse stick
jérusalem 	Jerusalem
inciter 	incite	 urge
pennsylvanie 	Pennsylvania
diluée 	dilute
latium 	Latium
scrabble 	Scrabble
dracula 	Dracula
bisphénol a 	bisphenol A
puissant 	mighty	 puissant	 powerful
eskimo 	Eskimo
diligent 	hardworking	 industrious	 diligent
responsabilité 	liability	 responsibility
marthe 	Martha
déclaration 	statement	 declaration	 utterance
responsable 	responsible	 liable	 accountable
climatologie 	climatology
trilobite 	trilobite
opportunisme 	opportunism
championner 	champion
tour de france 	Tour de France
faune 	fauna	 wildlife	 faun
landgrave 	landgrave
invitation 	invite	 invitation
ambidextre 	ambidextrous
compassion 	pity	 sympathy	 compassion
pointe 	point	 tip
self-service 	self-service
wolframite 	wolframite
francophobe 	Francophobe
tepelen 	Tepelenë
vestibule 	vestibule	 entry
t-shirt 	T-shirt
civil 	citizen	 civilian
rétinol 	retinol
consentir 	consent	 agree
surplus 	surplus
chiraz 	Shiraz
affecter 	affect
estonienne 	Estonian
humanisme 	humanism
combiner 	combine
sassari 	Sassari
lichen 	lichen
exploration 	exploration
réprimande 	reprimand
narva 	Narva
tennis 	tennis
valide 	valid
catalytique 	catalytic
racer 	racer
thermorégulation 	thermoregulation
modem 	modem
anus 	anus
manoeuvrabilité 	manoeuvrability
surjection 	surjection
héliotropisme 	heliotropism
pnictogène 	pnictogen
climat 	climate
riche 	rich	 wealthy
challengeur 	challenger
motivation 	motivation
récurrent 	recurrent
quark 	quark
prototype 	prototype
cystoscopie 	cystoscopy
carnage 	bloodshed	 carnage	 slaughter
transférable 	transferable
sédition 	sedition
symbole 	sign	 symbol
madrid 	Madrid
lithuanien 	Lithuanian
opportuniste 	opportunistic
microscope 	Microscopium
anis 	anise
marsupial 	marsupial
stupa 	stupa
floridien 	Floridian
indium 	indium
nagykanizsa 	Nagykanizsa
modal 	modal verb	 modal
plaine alluviale 	alluvial plain
rigor mortis 	rigor mortis
abrasion 	abrasion
cumulonimbus 	cumulonimbus
vanité 	vanity
dribbler 	dribble
prononciation 	pronunciation	 utterance
lénition 	lenition
somalien 	Somali
transcription 	transcript	 romanization	 transliteration	 romanisation	 transcription
criminel 	criminal
surpasser 	surpass	 outdo
xylose 	xylose
janus 	Janus
diffraction 	diffraction
pneumonie 	pneumonia
palindrome 	palindrome
expropriation 	expropriation
adposition 	adposition
notification 	notification
abel 	Abel
office 	office
stupide 	dumb	 drowsy	 shit-for-brains	 fatuous	 stupid
anoa 	anoa
dobra 	dobra
tapioca 	tapioca
exobiologie 	exobiology
cassette audio 	audio cassette
alliance 	alliance	 wedding ring
party 	party
spationaute 	spaceman	 spationaut
exciton 	exciton
aye-aye 	aye-aye
germe 	germ
antonymie 	antonymy
photoémission 	photoemission
arquebuse 	arquebus	 harquebus
-ée 	-ee
tobago 	Tobago
zen 	zen
goutte 	dribble	 droplet	 drop	 goutte
inévitable 	inescapable	 unavoidable	 inevitable
déficit 	deficit
titan 	Titan
adjectif 	adjective
calligraphie 	calligraphy
idiomatique 	idiomatic
nigeria 	Nigeria
dispersant 	dispersant
promotion 	promote	 promotion	 class
silice 	silica
perfection 	perfection
infection 	infection
patrai 	Patras
adjectival 	adjectival
fissure 	flaw	 fissure	 cleft
variance 	variance
longyearbyen 	Longyearbyen
centrifuge 	centrifugal
cyclotron 	cyclotron
assam 	Assam
inorganique 	inorganic
zoo 	zoo
sorbet 	sherbet	 sorbet
imaginer 	suppose	 imagine
électron 	electron
escaut 	Scheldt	 Escaut
horizontal 	horizontal
pharaon 	pharaoh
wellington 	Wellington
samson 	Samson
électro- 	electro-
parvenu 	parvenue	 parvenu	 upstart	 nouveau riche
barman 	barman	 bartender
ununbium 	ununbium
héliciculture 	heliciculture
sadiste 	sadist
claviculaire 	clavicular
diffuser 	preview	 broadcast	 diffuse	 spread
lotion 	lotion
finance 	finance
chloroformer 	chloroform
humilité 	humility
libero 	libero
fatal 	fatal	 lethal	 deadly
samoan 	Samoan
-esque 	-esque
employeur 	employer
overijssel 	Overijssel
jezebel 	Jezebel
sport 	sport
luminescence 	luminescence
existentialisme 	existentialism
piranha 	piranha
spore 	spore
triptote 	triptote
blond 	blond
holonymie 	holonymy
pesticide 	pesticide
zona pellucida 	zona pellucida
pompable 	pumpable
substrat 	substrate
louvain 	Louvain
ionosphère 	ionosphere
surprise 	surprised	 surprise
coordination 	coordination
ascension 	ascension
carole 	Carol
environnemental 	environmental
bactériologiste 	bacteriologist
compresse 	compress
syllepse 	syllepsis
agence 	agency	 bureau
clathrate 	clathrate
rampant 	rampant
différentiation 	differentiation
meitnérium 	meitnerium
antiterrorisme 	antiterrorism
taxidermiste 	taxidermist
gastronomie 	gastronomy
colombie 	Colombia
macerata 	Macerata
newton 	newton
interconnecter 	interconnect
absurde 	preposterous	 nonsensical	 absurd
roberte 	Roberta
canon 	dish	 canon	 cannon
volt 	volt
cockpit 	cockpit
ibis 	ibis
vomi 	vomit
attention 	timber	 focus	 attention	 warning
bovine 	bovine
diesel 	diesel
nutritionniste 	dietitian	 nutritionist
monographie 	monograph
valencia 	Valencia
anti- 	anti-	 un-
spider-man 	Spider-Man
severn 	Severn
arcane 	arcane
frugal 	frugal
radium 	radium
fatwa 	fatwa
argon 	argon
mozambique 	Mozambique
riposte 	ripost
paire 	pair	 couple	 even
syndrome 	syndrome
micro-organisme 	microorganism
anthropophagie 	anthropophagy
sûreté du québec 	Sûreté du Québec
zombie 	zombie
exciter 	thrill	 excite
gentrification 	gentrification
albanie 	Albania
badge 	badge
mikado 	mikado
hydrate 	hydrate
inflammable 	inflammable
transylvanie 	Transylvania
latent 	latent
nominal 	nominal
dactylologie 	dactylology
ester 	ester
université 	university	 school	 Oxford	 Cambridge
-cide 	-cide
strip 	strip
swaziland 	Swaziland
salive 	saliva
ocarina 	ocarina
gange 	Ganges
tonalité 	dial tone	 tonality
sybarite 	sybarite
naypyidaw 	Naypyidaw
taxidermie 	taxidermy
munich 	Munich
hobbit 	hobbit
centrale 	central
naturaliser 	naturalize
arrogant 	arrogant
éloquence 	eloquence
albireo 	Albireo
jeep 	jeep
tchador 	chador
rétrogression 	retrogression
orchestral 	orchestral
favorable 	favourable	 following	 conducive	 kind	 favorable
paul 	Paul
ermitage 	hermitage
épicentre 	epicentre
voyage 	voyage	 journey	 trip	 tour
continuer 	keep up	 continue	 go on
quartz 	quartz
mutant 	mutant
pneumoconiose 	pneumoconiosis
frotteurisme 	frotteurism
pianiste 	pianist
thrombocytopénie 	thrombocytopenia
étrangler 	strangle
háček 	háček
silicon valley 	Silicon Valley
hypocycloïde 	hypocycloid
épisode 	installment	 episode
décalogue 	Decalogue	 Ten Commandments
seychellois 	Seychellois
vladimir 	Vladimir
asinine 	asinine
mégatsunami 	megatsunami
radicale 	radical
hélio- 	helio-
malacologie 	malacology
stéthoscope 	stethoscope
électrification 	electrification
digamma 	digamma
accuser 	indict	 accuse	 charge
patriotisme 	patriotism
babylonie 	Babylonia
sexualité 	sexuality
garage 	garage
lapicide 	lapicide
destruction 	destruction
potable 	potable	 drinkable
routine 	routine
beige 	beige
injectable 	injectable
passe 	master key	 pass	 passkey
approximation 	approximation
vaporiser 	vaporize
yak 	yak
piercing 	piercing
internationaliser 	internationalize
ardent 	earnest	 ardent
zymase 	zymase
tandem 	tandem
oblong 	oblong
syndical 	syndical
aérodyne 	aerodyne
instinctif 	instinctive
chresmologe 	chresmologue
melon 	melon
cheddar 	Cheddar
crucifixion 	crucifixion
sampan 	sampan
malédiction 	malediction	 imprecation
-phile 	-phile
big bang 	Big Bang
nétiquette 	netiquette
héliox 	heliox
sésame 	sesame
boomerang 	boomerang
fascisme 	fascism
yap 	Yap
isomorphisme 	isomorphism
réserpine 	reserpine
situation 	situation
déponent 	deponent
orthodoxie 	orthodoxy
train 	train
noble 	noble
juneau 	Juneau
trait 	stroke	 dart	 line	 feature	 trait
ides 	ides
fasciste 	Nazi	 fascist
accusatif 	accusative case	 accusative
novokouznetsk 	Novokuznetsk
étranger 	extraneous	 foreigner	 foreign country	 alien	 outsider	 stranger	 overseas	 foreign
bourgeoisie 	bourgeoisie
afghan 	Afghan
hélium 	helium
yttrium 	yttrium
glande 	gland
franconien 	Franconian
confiscation 	confiscation
unidirectionnel 	unidirectional
insomnie 	insomnia
radian 	radian
propolis 	propolis
vulpin 	vulpine
inoffensif 	inoffensive	 innocuous
sabelle 	sabella
vanuatuan 	Vanuatuan
karakalpak 	Karakalpak
place 	elbow room	 square	 space	 place	 plaza
suicide 	suicide
infantiliser 	infantilize
hadron 	hadron
pertinence 	pertinence	 relevance	 relevancy
phonologie 	phonology
naturel 	natural
enfleurage 	enfleurage
toponyme 	toponym
celte 	Celt
schiste 	shale	 schist
georgetown 	Georgetown
initiative 	initiative
agalmatophilie 	agalmatophilia
mcdonald's 	McDonald's
automatique 	automatic
dryade 	dryad
interlingua 	Interlingua
quidditch 	Quidditch
contemporain 	contemporary	 contemporaneous
suicidé 	suicide
touché 	touché
brunei 	Brunei
multivers 	multiverse
discordianisme 	Discordianism
misogynie 	misogyny
anglicisme 	anglicism	 Briticism
caresser 	stroke	 pet	 fondle	 caress
serbie 	Serbia
mark convertible 	convertible mark
neuroscience 	neuroscience
postnatal 	postnatal
snowboardeur 	snowboarder
icon 	icon
sauce worcestershire 	Worcestershire sauce
apostrophe 	apostrophe
test 	test
récurrence 	recurrence
résurrection 	resurrection
refuser 	refuse	 decline
page 	page
aluminium 	aluminum	 aluminium
éclipse 	eclipse
bambara 	Bambara
toucan 	toucan
principe 	principle
seaborgium 	seaborgium
environnement 	surroundings	 environment
détente 	détente
missouri 	Missouri
qualifié 	qualified
offline 	offline
rectal 	rectal
postmoderne 	postmodernist	 postmodern
heptagone 	heptagonal	 heptagon
botulisme 	botulism
city 	City
calque 	calque	 loanword
véganisme 	veganism
cappadoce 	Cappadocia
burkinabè 	burkinabe
boson 	boson
divisible 	divisible
acidifiable 	acidifiable
symbiotique 	symbiotic
gougeure 	gouge
vallée d'aoste 	Valle d'Aosta
hydrographie 	hydrography
salmonelle 	salmonella
abraham 	Abraham
finaliste 	finalist
monument 	monument
gibraltar 	Gibraltar
intergalactique 	intergalactic
secret 	secretion	 secret	 secrecy
autonome 	self-contained	 autonomous
dilater 	dilate
banquet 	feast	 banquet
accréditation 	accreditation
soffite 	soffit
clandestin 	clandestine	 underground
bloc québécois 	Bloc Québécois
mucus 	mucus
homosexuelle 	homosexual
dénomination 	denomination
conversation 	conversation	 talk
parturition 	childbirth	 parturition	 delivery
jazz 	jazz
périscope 	periscope
farad 	farad
émotion 	feeling	 emotion
insecte 	bug	 insect
lanthane 	lanthanum
occultisme 	occult	 occultism
personnel 	personal	 private
résignation 	resignation
interlocuteur 	interlocutor
catholicisme 	Catholicism
exposition 	exposure	 exposition	 exhibit
aride 	arid
goliath 	Goliath
campanologique 	campanologic
pédant 	know-it-all	 pedant	 sententious	 pedantic
portugal 	Portugal
vernaculaire 	vernacular
kiev 	Kiev
panamien 	Panamanian
mégaphone 	megaphone
absorption 	absorption
kemerovo 	Kemerovo
sultanat 	sultanate
ununpentium 	ununpentium
intelligence artificielle 	artificial intelligence
morphologie 	morphology
naturisme 	naturism
efflorescence 	efflorescence
polygonal 	polygonal
agitprop 	agitprop
chawarma 	shawarma
torrentiel 	torrential
spvm 	SPVM
quadrilingue 	quadrilingual
uranus 	Uranus
pyrrole 	pyrrole
primat 	primate
quotient 	quotient
tomahawk 	tomahawk
décathlon 	decathlon
parvenue 	parvenu
mésocarpe 	mesocarp
agouti 	agouti
action 	deed	 stock	 equity	 action	 agency	 act
lancette 	lancet
softball 	softball
röntgen 	röntgen
comintern 	Comintern
incapacité 	incapacity	 inability
morale 	moral
perceptible 	perceptible
iaroslavl 	Yaroslavl
autotomie 	autotomy
aberrant 	aberrant	 insane
calligraphe 	calligrapher
ciment 	cement
géocentrisme 	geocentrism
monolingue 	monolingual
immobile 	immobile	 still
christiane 	Christiana
bibliste 	biblist
chickasaw 	Chickasaw
corvide 	corvine
bavarois 	bavarois
absorber 	absorb	 assimilate
cantaloup 	cantaloupe
corridor 	corridor
encens 	incense
guatemala 	Guatemala
cartel 	cartel
zazen 	zazen
nouakchott 	Nouakchott
vertical 	vertical
jéhovah 	Jehovah
arnica 	arnica
disaccharide 	disaccharide
internationaliste 	internationalist
interlocutrice 	interlocutor
avocat 	proponent	 avocado	 attorney	 advocate	 lawyer
placer 	put	 place
touchable 	touchable
himalaya 	Himalayas
abasie 	abasia
néoplasme 	neoplasm
curium 	curium
europium 	europium
sénile 	senile
tornade 	tornado
glycine 	glycine
ballerine 	ballerina
colza 	rapeseed	 colza
thuringe 	Thuringia
défense 	defense	 fender	 tusk
macron 	macron
repartie 	repartee
arriver 	arrive	 place	 happen	 occur
filial 	filial
intenable 	untenable
réunion 	meeting	 union	 race meeting
strict 	strict
cobalt 	cobalt
translation 	translation
réaction 	reaction
diacritique 	diacritic
intestin 	gut	 intestine
gluon 	gluon
biofilm 	biofilm
pacemaker 	pacemaker
irrationnel 	irrational
messidor 	Messidor
raciste 	racist
lithuanien 	Lithuanian
casablanca 	Casablanca
archer 	archer
quasar 	quasar
autocrate 	autocrat
tente 	tent
notabilité 	notability
mark 	mark
spcum 	SPCUM
navigable 	navigable
astrolabe 	astrolabe
magazine 	magazine
écholocation 	echolocation
éthane 	ethane
pénétration 	penetration
oasis 	oasis
wok 	wok
philosophie 	philosophy
ampoule 	blister	 ampoule	 light bulb
oranger 	orange
supercalifragilisticexpialidocious 	supercalifragilisticexpialidocious
bollard 	bollard
bibimbap 	bibimbap
parisien 	Parisian
comédienne 	comedienne
normale 	normal
apprenti 	apprentice
discrétion 	discretion
aéroplane 	aeroplane
carbonara 	carbonara
asocial 	asocial
gujarat 	Gujarat
-ence 	-ence
drachme 	drachma
wollastonite 	wollastonite
inconfortable 	uncomfortable
caracalla 	Caracalla
ribosome 	ribosome
coprah 	copra
rétrospectif 	retrospective
division 	division	 cleavage
missile 	missile
rome 	Rome
asymptotique 	asymptotic
cayenne 	Cayenne
roma 	Roma
tautologie 	tautology
seismology 	seismology
consonant 	consonant
kleenex 	kleenex
estival 	aestival	 estival	 summery
bergame 	Bergamo
dermatologue 	dermatologist
transparence 	transparency	 transparence
prolixe 	prolix
opinion 	point	 point of view	 opinion
são tomé e príncipe 	São Tomé and Príncipe
vaste 	vast
corinthiens 	Corinthians
hadrien 	Hadrian
sextant 	Sextans
ljubljana 	Ljubljana
rus 	Rus
psoriasis 	psoriasis
okapi 	okapi
communisme 	communism
fragment 	flake	 fragment
patriotique 	patriotic
sanicle 	sanicle
capable 	able	 incapable	 capable
honiara 	Honiara
imprécation 	imprecation
myriade 	myriad
darwinisme social 	social Darwinism
ring 	ring
unilatéralisme 	unilateralism
holographique 	holographic
cologne 	Cologne
öland 	Öland
mangalore 	Mangalore
sermon 	harangue	 sermon
aria 	air	 aria
radical 	radical
blues 	blue	 blues
mémorial 	memorial	 monument
namur 	Namur
programmeur 	developer	 programmer
lojban 	Lojban
tacticien 	tactician
basson 	bassoon
champion 	champion	 championship
avocette 	avocet
pärnu 	Pärnu
asphalte 	asphalt
horologiste 	horologist
carbonade 	carbonade
naval 	naval	 navy
psychiatrique 	psychiatric
mitochondrie 	mitochondrion
compétition 	competition
résistible 	resistible
placentaire 	placental
communiste 	communist
audience 	listenership	 audience	 viewership
profitable 	profitable
proline 	proline
soap opera 	soap opera
mandarin 	mandarin	 Mandarin
haha 	haha	 ha-ha
négation 	negation	 denial
porcelaine 	porcelain	 china
monarchie 	monarchy
neurulation 	neurulation
connotation 	connotation	 slant
basalte 	basalt
mammogramme 	mammogram
copyright 	copyright
pénicilline 	penicillin
explicable 	explicable
lettre 	letter
caricaturiste 	caricaturist
hajj 	hajj
chanter 	sing	 perform	 chant
cytosol 	cytosol
parachuter 	parachute
quadratique 	quadratic
dermatologie 	dermatology
samuel 	Samuel
yogi 	yogi
exponentiation 	exponentiation
yoga 	yoga
squat 	squat
candidate 	candidate
sexologie 	sexology
rager 	rage
nerd 	nerd
colonnade 	colonnade
monogramme 	monogram
spleen 	spleen
quorum 	quorum
constantinople 	Constantinople
trinidadien 	Trinidadian	 Trinidadian and Tobagonian
consternation 	consternation
cocktail 	cocktail
emajõgi 	Emajõgi
animal 	animal
astrologie 	astrology
positron 	positron
indispensable 	indispensable
équation 	equation
cancer 	Cancer
arum 	arum
naïf 	naive	 gullible	 naïf
grain 	bead	 grain
via 	via
dorade 	Dorado
biathlon 	biathlon
tricycle 	tricycle
york 	York
indentation 	indentation
obtuse 	obtuse
manitoba 	Manitoba
la paz 	La Paz
victorieux 	victorious
kurtosis 	kurtosis
nicosie 	Nicosia
fébrile 	febrile
achondroplasie 	achondroplasia
inhumation 	humation
procrastination 	procrastination
genre 	genre	 sort	 gender	 genus	 type	 kind
cortex 	cortex
germinal 	Germinal
justification 	vindication	 justification
redemptoriste 	Redemptorist
vladika 	Vladika
saboteur 	saboteur
sindonologie 	sindonology
humour 	humour	 humor
platitude 	platitude
odalisque 	odalisque
naples 	Naples
sms 	SMS
herbivore 	herbivore
législation 	legislation
komintern 	Comintern
mizar 	Mizar
conga 	conga
fine 	fine
film 	film	 motion picture	 cinema	 movie
engager 	engage
existentialiste 	existentialist
admiration 	admiration
carbonate 	carbonate
conceptuel 	conceptual
wallon 	Walloon
photon 	photon
candidat 	candidate
protester 	protest
obsolescent 	obsolescent
californienne 	Californian
convexe 	convex
microphone 	microphone
embrasure 	embrasure
transréalisme 	transrealism
flagrant 	blatant	 egregious	 flagrant
côte d'ivoire 	Ivory Coast	 Côte d'Ivoire
improviser 	improvise
ukase 	ukase
dialecte 	dialect	 vernacular
lignite 	lignite
supersonique 	supersonic
sonar 	sonar
régionalisme 	regionalism
ferrare 	Ferrara
petropavlovsk-kamtchatski 	Petropavlovsk-Kamchatsky
normandie 	Normandy
convolvulus 	convolvulus
précognition 	precognition
analysable 	analyzable
limpide 	limpid
superflu 	superfluous	 superfluity	 needless
vital 	vital
menstruel 	menstrual
productivité 	productivity
approprié 	suitable	 appropriate	 fitting
raguse 	Ragusa
spirographe 	Spirograph
photo 	picture	 photograph	 photo
thessalien 	Thessalian
endoscopie 	endoscopy
affliction 	affliction
bijection 	bijection
varna 	varna
histidine 	histidine
ichthyologie 	ichthyology
scotch 	Scotch tape	 adhesive tape	 Scotch
habitable 	inhabitable
valise 	boot	 valise	 suitcase	 portmanteau
kippa 	yarmulke	 kippah	 skullcap
prostituée 	harlot	 prostitute
harmonica 	harmonica
pentium 	Pentium
briquet 	briquet	 lighter
jogging 	jogging
accident 	accident
inintelligible 	unintelligible
primitive 	primitive	 early
robot 	robot
afar 	Afar
zhuyin fuhao 	Zhuyin fuhao
galactose 	galactose
ambivalent 	ambivalent
